Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:00,AM,1443,426
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:15,AM,1529,418
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:30,AM,1493,407
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:45,AM,1391,415
Wednesday,1,12203-01,6,3,NORTH-SOUTH,12:00,PM,2,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,17:15,PM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,17:30,PM,0,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,17:45,PM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,18:00,PM,2,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,10:00,AM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,10:15,AM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,10:30,AM,0,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,10:45,AM,3,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,11:15,AM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,11:30,AM,1,0
Wednesday,1,12203-01,6,3,NORTH-SOUTH,11:45,AM,0,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,16:45,PM,3,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,17:00,PM,2,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,17:15,PM,0,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,17:30,PM,0,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,07:30,AM,1,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,07:45,AM,0,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,08:00,AM,2,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,08:15,AM,2,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,11:00,AM,2,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,11:15,AM,0,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,11:30,AM,1,0
Thursday,NO MATCH FOUND FOR: 'DayNum',12203-01,6,3,NORTH-SOUTH,11:45,AM,2,0
2,1,12203-01,7,8,EAST-WEST,19:15,PM,5,0
2,1,12203-01,7,8,EAST-WEST,19:30,PM,3,0
2,1,12203-01,7,8,EAST-WEST,19:45,PM,3,0
2,1,12203-01,7,8,EAST-WEST,08:00,AM,3,0
